University,Country,Score,League
Harvard University,USA,100.0,Diamond League
California Institute of Technology (Caltech),USA,99.636,Diamond League
Stanford University,USA,97.05,Diamond League
Imperial College London,UK,96.742,Diamond League
Karolinska Institute,Sweden,96.609,Diamond League
Massachusetts Institute of Technology (MIT),USA,96.37,Diamond League
University of Oxford,UK,96.167,Diamond League
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,94.629,Diamond League
University of Cambridge,UK,94.383,Diamond League
Columbia University,USA,94.132,Diamond League
University College London,UK,93.911,Diamond League
Yale University,USA,93.797,Diamond League
University of Pennsylvania,USA,93.741,Diamond League
Johns Hopkins University,USA,93.617,Diamond League
Northwestern University,USA,93.558,Diamond League
Princeton University,USA,93.517,Diamond League
Ecole Polytechnique Federale de Lausanne,Switzerland,92.159,Diamond League
Case Western Reserve University,USA,91.555,Diamond League
Cornell University,USA,91.528,Diamond League
Washington University in St. Louis,USA,90.996,Diamond League
Peking University,China,90.954,Diamond League
Korea Advanced Institute of Science and Technology (KAIST),Republic of Korea,90.813,Diamond League
Scuola Normale Superiore di Pisa,Italy,89.546,Diamond League
Carnegie Mellon University,USA,89.279,Diamond League
University of Michigan,USA,88.822,Diamond League
University of Edinburgh,UK,88.284,Diamond League
Tsinghua University,China,87.746,Diamond League
King`s College London,UK,87.742,Diamond League
Brown University,USA,87.703,Diamond League
Emory University,USA,87.635,Diamond League
Boston University,USA,87.59,Diamond League
Technical University of Denmark,Denmark,87.419,Diamond League
"University of California, Los Angeles",USA,87.212,Diamond League
Nanyang Technological University,Singapore,87.004,Diamond League
Pohang University of Science and Technology (POSTECH),Republic of Korea,86.997,Diamond League
New York University,USA,86.727,Diamond League
McGill University,Canada,86.651,Diamond League
Rice University,USA,86.466,Diamond League
Tufts University,USA,86.466,Diamond League
Royal Institute of Technology (KTH),Sweden,86.196,Diamond League
University of Tokyo,Japan,86.051,Diamond League
University of Bern,Switzerland,85.992,Diamond League
Sorbonne University,France,85.896,Diamond League
University of Wisconsin - Madison,USA,85.887,Diamond League
University of Geneva,Switzerland,85.726,Diamond League
University of Hong Kong,Hong Kong,85.692,Diamond League
University of Pittsburgh,USA,85.55,Diamond League
University of Science and Technology of China,China,85.514,Diamond League
Chalmers University of Technology,Sweden,85.261,Diamond League
Kyoto University,Japan,85.222,Diamond League
Australian National University,Australia,85.066,Diamond League
University of Washington,USA,84.923,Diamond League
University of Zurich,Switzerland,84.764,Diamond League
University of Lausanne,Switzerland,84.706,Diamond League
Ludwig Maximilian University of Munich,Germany,84.692,Diamond League
University of Manchester,UK,84.621,Diamond League
Vanderbilt University,USA,84.555,Diamond League
"University of California, Berkeley",USA,84.515,Diamond League
Fudan University,China,84.455,Diamond League
Chinese University Hong Kong,Hong Kong,84.299,Diamond League
Indian Institute of Science,India,84.104,Diamond League
"University of California, San Diego",USA,84.089,Diamond League
University of Toronto,Canada,84.08,Diamond League
Wageningen University & Research Center,Netherlands,83.936,Diamond League
University of Southern California,USA,83.816,Diamond League
Ruprecht Karl University of Heidelberg,Germany,83.724,Diamond League
Technische Universitat Dresden (TU Dresden),Germany,83.467,Diamond League
University of North Carolina,USA,83.412,Diamond League
Zhejiang University,China,83.386,Diamond League
Shanghai Jiao Tong University,China,83.203,Diamond League
University of Sydney,Australia,82.855,Diamond League
Georgia Institute of Technology,USA,82.816,Diamond League
University of Minnesota,USA,82.691,Diamond League
National University of Singapore,Singapore,82.43,Diamond League
Utrecht University,Netherlands,82.41,Diamond League
Tohoku University,Japan,82.305,Diamond League
Lund University,Sweden,82.226,Diamond League
University of Twente,Netherlands,81.954,Diamond League
University of Rochester,USA,81.935,Diamond League
Tokyo Institute of Technology,Japan,81.894,Diamond League
University of Warwick,UK,81.832,Diamond League
University of British Columbia,Canada,81.719,Diamond League
Technical University of Munich,Germany,81.655,Diamond League
Georgetown University,USA,81.53,Diamond League
London School of Economics and Political Science,UK,81.508,Diamond League
"University of California, Davis",USA,81.382,Diamond League
City University of Hong Kong,Hong Kong,81.377,Diamond League
RWTH Aachen University,Germany,81.264,Diamond League
University of Sheffield,UK,81.23,Diamond League
University of Bristol,UK,81.109,Diamond League
Lomonosov Moscow State University,Russia,81.083,Diamond League
Dartmouth College,USA,80.884,Diamond League
Ohio State University,USA,80.742,Diamond League
University of Birmingham,UK,80.72,Diamond League
University of Notre Dame,USA,80.698,Diamond League
USI - Universita della Svizzera italiana,Switzerland,80.681,Diamond League
University of St. Andrews,UK,80.633,Diamond League
George Washington University,USA,80.421,Diamond League
Hebrew University of Jerusalem,Israel,80.287,Diamond League
Universite de Montreal,Canada,80.094,Diamond League
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,80.059,Golden League
Rutgers the State University of New Jersey,USA,79.967,Golden League
Tomsk State University,Russia,79.937,Golden League
Medical University of Vienna,Austria,79.684,Golden League
National Taiwan University,Taiwan,79.541,Golden League
Moscow Institute of Physics and Technology,Russia,79.448,Golden League
University of Florida,USA,79.37,Golden League
University of Sao Paulo,Brazil,79.328,Golden League
University of Gottingen,Germany,79.31,Golden League
Nagoya University,Japan,79.061,Golden League
"University of Maryland, College Park",USA,79.057,Golden League
University of Queensland Australia,Australia,78.774,Golden League
University of Malaya,Malaysia,78.765,Golden League
Lancaster University,UK,78.672,Golden League
Hong Kong University of Science and Technology,Hong Kong,78.613,Golden League
Free University of Berlin,Germany,78.534,Golden League
Aalto University,Finland,78.507,Golden League
Radboud University Nijmegen,Netherlands,78.497,Golden League
University of Bergen,Norway,78.379,Golden League
Queen Mary University of London,UK,78.365,Golden League
University of Glasgow,UK,78.332,Golden League
Hokkaido University,Japan,78.233,Golden League
University of Calgary,Canada,78.142,Golden League
Michigan State University,USA,78.079,Golden League
Erasmus University Rotterdam,Netherlands,78.044,Golden League
Karlsruhe Institute of Technology,Germany,77.97,Golden League
University of New South Wales,Australia,77.907,Golden League
Aarhus University,Denmark,77.847,Golden League
University of Iowa,USA,77.77,Golden League
Osaka University,Japan,77.753,Golden League
Tokyo Medical and Dental University,Japan,77.739,Golden League
Pennsylvania State University,USA,77.715,Golden League
Nanjing University,China,77.643,Golden League
Tulane University,USA,77.47,Golden League
Monash University,Australia,77.311,Golden League
University of Adelaide,Australia,77.184,Golden League
Durham University,UK,77.11,Golden League
University of Utah,USA,76.963,Golden League
University of Groningen,Netherlands,76.919,Golden League
Technion Israel Institute of Technology,Israel,76.914,Golden League
McMaster University,Canada,76.861,Golden League
University of Miami,USA,76.825,Golden League
Humboldt University of Berlin,Germany,76.761,Golden League
University of Tsukuba,Japan,76.673,Golden League
Katholieke Universiteit Leuven (KU Leuven),Belgium,76.105,Golden League
University of Hamburg,Germany,76.092,Golden League
Rockefeller University,USA,76.071,Golden League
University of Western Australia,Australia,75.98,Golden League
University of Cologne,Germany,75.948,Golden League
University of Kansas,USA,75.806,Golden League
Universite de Paris,France,75.753,Golden League
University of Liverpool,UK,75.679,Golden League
North Carolina State University,USA,75.513,Golden League
University of Reading,UK,75.491,Golden League
State University of Campinas (Unicamp),Brazil,75.49,Golden League
Tel Aviv University,Israel,75.365,Golden League
A.C.Camargo Cancer Center,Brazil,75.319,Golden League
University of Sussex,UK,75.295,Golden League
Vrije Universiteit Brussels (VUB),Belgium,75.249,Golden League
University of Erlangen Nuremberg,Germany,75.165,Golden League
Tehran University of Medical Sciences,Iran,75.074,Golden League
Cardiff University,UK,74.925,Golden League
Hanyang University,Republic of Korea,74.896,Golden League
Sungkyunkwan University,Republic of Korea,74.824,Golden League
Technical University of Berlin,Germany,74.782,Golden League
University of Colorado,USA,74.773,Golden League
Harbin Institute of Technology,China,74.768,Golden League
University of Arizona,USA,74.516,Golden League
University of Nova Gorica,Slovenia,74.461,Golden League
Colorado School of Mines,USA,74.416,Golden League
Northeastern University,USA,74.383,Golden League
University of Hawaii,USA,74.273,Golden League
Weizmann Institute of Science,Israel,74.256,Golden League
Indiana University,USA,74.229,Golden League
Ghent University,Belgium,74.128,Golden League
Beijing Normal University,China,74.01,Golden League
Trinity College Dublin,Ireland,73.975,Golden League
University of Padua,Italy,73.882,Golden League
IMT Atlantique,France,73.783,Golden League
University of York,UK,73.713,Golden League
University of Wurzburg,Germany,73.471,Golden League
Central European University,Hungary,73.466,Golden League
"State University of New York, Stony Brook",USA,73.44,Golden League
"University of California, Santa Barbara",USA,73.433,Golden League
Tongji University,China,73.341,Golden League
University of Gothenburg,Sweden,73.316,Golden League
Newcastle University,UK,73.285,Golden League
Dalhousie University,Canada,73.019,Golden League
"State University of New York, Buffalo",USA,73.011,Golden League
Gwangju Institute of Science and Technology,Republic of Korea,72.979,Golden League
University Catholique de Louvain,Belgium,72.904,Golden League
University of Ottawa,Canada,72.732,Golden League
University of Aberdeen,UK,72.714,Golden League
Western University,Canada,72.648,Golden League
University of Exeter,UK,72.589,Golden League
University of Freiburg,Germany,72.513,Golden League
Autonomous University of Barcelona,Spain,72.499,Golden League
University of Munster,Germany,72.349,Golden League
Texas A&M University,USA,72.26,Golden League
University of Montpellier,France,72.158,Golden League
